ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
YES,,Polish,,"ನಯ, ಮೆರುಗು, ಹೊಳಪು",,,,,,,
YES,,Pointing,,"ಚೂಪು ಮಾಡುವುದು, ಸಂದುಗಾರೆ ಮಾಡುವುದು",,,,,,,
YES,,Providing,,"ಒದಗಿಸುವುದು ಸರಬರಾಜು ಮಾಡುವುದು, ಏರ್ಪಾಟು ಮಾಡುವುದು",,,,,,,
YES,,Primer,,"ಮೊದಲ ಲೇಪ, ಪ್ರೈಮರ್‌",,,,,,,
YES,,Quarry,,"ಕಲ್ಲುಗಣಿ, ಕ್ವಾರಿ",,,,,,,
YES,,Rails,,"ಕಂಬಿಗಳು, ರೇಲ್ಸ್‌",,,,,,,
YES,,Raft,,"ತಲೊಟ್ಟಿಲು, ತೆಪ್ಪ, ಕಟ್ಟುಮರ,",,,,,,,
YES,,Racking,,ರ‍್ಯಾಕಿಂಗ್,,,,,,,
YES,,Reinforcement,,"ಭದ್ರಪಡಿಸಿದ ಜಲ್ಲಿಗಾರೆ, ಭದ್ರಗಾರೆ",,,,,,,
YES,,Red oxide,,ರೆಡ್‌ ಆಕ್ಸೈಡ್‌,,,,,,,
YES,,Reapers,,ರೀಪರುಗಳು,,,,,,,
YES,,Removing,,"ತೆಗೆದುಹಾಕು, ಸಾಗಿಸು, ಬದಲಾಯಿಸು, ಒಯ್ಯುವುದು",,,,,,,
YES,,Reinforced Cement,,"ಭದ್ರಗಾರೆ, ಭದ್ರಪಡಿಸಿದ ಗಾರೆ",,,,,,,
YES,,Rod,,"ಕೋಲು, ದಂಡ, ಸಲಾಕೆ, ರಾಡ್‌",,,,,,,
YES,,Roofing,,"ಛಾವಣಿ ಹಾಕುವುದು, ರೂಫಿಂಗ್‌",,,,,,,
YES,,Roller,,ಉರುಳೆ,,,,,,,
YES,,Roof slab,,"ಮೇಲ್ಛಾವಣಿ ಚಪ್ಪಡಿ, ಹಾಸುಗಲ್ಲು, ರೂಫ್‌ ಸ್ಲ್ಯಾಬ್",,,,,,,
YES,,Sand,,ಮರಳು,,,,,,,
YES,,Sand stone,,"ಮರಳುಗಲ್ಲು, ಕೆಮ್ಮರಳು ಶಿಲೆ",,,,,,,
YES,,Scaffolding,,"ಅಟ್ಟ, ಅಟ್ಟಣೆ ಸಾರುವೆ ಕಟ್ಟು",,,,,,,
YES,,Septic tank,,"ಮಲನಾಶಕ ಕೊಳ, ಸೆಪ್ಟಿಕ್‌ ಟ್ಯಾಂಕ್‌",,,,,,,
YES,,Shoring,,"ಊರೆಕೊಡುವುದು, ಊರೆಗಳು",,,,,,,
YES,,Shutters,,"ಕಿಟಕಿಯ ಕದ, ಕವಾಟ, ಷಟರುಗಳು",,,,,,,
YES,,Sinks,,"ಬಚ್ಚಲು ಗುಂಡಿ, ರೊಚ್ಚುಗುಂಡಿ, ಸಿಂಕುಗಳು",,,,,,,
YES,,Size Stone Masonry (S.S.M.),,ಸೈಜು ಕಲ್ಲಿನ ಕೆಲಸ / ಕಟ್ಟುವುದು,,,,,,,
YES,,Soak Pit,,"ನೀರು ಹೀರಿಕೊಳ್ಳುವ ಗುಂಡಿ, ನೀರು ಹೀರುವ ಗುಂಡಿ",,,,,,,
YES,,Spreading,,"ಹರಡುವುದು, ವಿಸ್ತರಿಸುವುದು, ಹಾಸುವುದು",,,,,,,
YES,,Stair case,,"ಮೆಟ್ಟಿಲು ಸಾಲು, ಸ್ಟೇರ್‌ ಕೇಸ್‌",,,,,,,
YES,,Steel,,"ಉಕ್ಕು, ಸ್ಟೀಲು",,,,,,,
YES,,Stone masonry,,ಕಲ್ಲು ಕಟ್ಟಡ,,,,,,,
YES,,Straightening,,"ನೆಟ್ಟಗೆ ಮಾಡುವುದು, ನೇರಗೊಳಿಸುವುದು, ಸರಿ ಮಾಡುವುದು",,,,,,,
YES,,Strutting,,"ಮರ, ಮೂಲೆ ಮರದಿಂದ ಭದ್ರಪಡಿಸುವುದು ಸ್ಟ್ರಟ್ಟಿಂಗ್‌",,,,,,,
YES,,Stone,,ಕಲ್ಲು; ಶಿಲೆ,,,,,,,
YES,,Stoneware pipe,,ಬೆಣಚು ಕಲ್ಲು ಕೊಳವೆ,,,,,,,
YES,,Structure,,"ರಚನೆ, ಕಟ್ಟಿರುವ ರೀತಿ, ವಿನ್ಯಾಸ, ಬಂಧ, ಸ್ಟ್ರಕ್ಚರ್",,,,,,,
YES,,Sump tank,,"ನೆಲದೊಳಗೆ ಮಾಡಿದ ತೊಟ್ಟಿ, ಸಂಪ್ ಟ್ಯಾಂಕ್",,,,,,,
YES,,Super structure,,"ಮೇಲ್ ಕಟ್ಟಡ, ಮೇಲೆ ಕಟ್ಟಿದ ಕಟ್ಟಡ, ಸೂಪರ್ ಸ್ಟ್ರಕ್ಚರ್",,,,,,,
YES,,Tamping,,"ಮುಚ್ಚುವುದು, ದಮಸ್ಸು ಮಾಡುವುದು, ಟ್ಯಾಂಪಿಂಗ್",,,,,,,
YES,,Teak,,"ತೇಗದ ಮರ, ಟೀಕ್‌",,,,,,,
YES,,Tees,,ಟೀಗಳು,,,,,,,
YES,,Tieing,,"ಕಟ್ಟುವುದು, ಬಿಗಿಯುವುದು, ಟೈಯಿಂಗ್‌",,,,,,,
YES,,Trenches,,"ಕಂದಕ, ಹಳ್ಳ, ಕಾಲುವೆ, ಗುಂಡಿ, ಟ್ರೆಂಚುಗಳು",,,,,,,
YES,,Urinals,,"ಮೂತ್ರಾಲಯಗಳು, ಮೂತ್ರಿಗಳು",,,,,,,
